,AP,x_coordinate(m),y_coordinate(m),floor
555,Bldg21AP2,20908,33302,2.0
556,Bldg21AP3,20908,33302,2.0
557,Bldg21AP4,20908,33302,3.0
558,Bldg21AP5,20908,33302,3.0
559,Bldg21AP6,20908,33302,4.0
560,Bldg21AP7,20908,33302,4.0
561,Bldg21AP8,20908,33302,4.0
562,Bldg22AP1,21740,32857,2.0
563,Bldg22AP2,21740,32857,3.0
564,Bldg22AP3,21740,32857,3.0
565,Bldg22AP4,21740,32857,3.0
566,Bldg22AP5,21740,32857,3.0
567,Bldg22AP6,21740,32857,3.0
568,Bldg22AP7,21740,32857,3.0
569,Bldg22AP8,21740,32857,2.0
570,Bldg22AP9,21740,32857,3.0
571,Bldg22AP10,21740,32857,4.0
572,Bldg22AP11,21740,32857,4.0
573,Bldg22AP12,21740,32857,5.0
574,Bldg22AP13,21740,32857,5.0
575,Bldg22AP14,21740,32857,6.0
576,Bldg22AP15,21740,32857,6.0
577,Bldg22AP16,21740,32857,7.0
578,Bldg22AP17,21740,32857,7.0
579,Bldg22AP18,21740,32857,7.0
580,Bldg22AP19,21740,32857,3.0
581,Bldg22AP20,21740,32857,3.0
582,Bldg22AP21,21740,32857,4.0
583,Bldg22AP22,21740,32857,4.0
584,Bldg22AP23,21740,32857,5.0
585,Bldg22AP24,21740,32857,6.0
586,Bldg23AP1,21606,33017,2.0
587,Bldg23AP2,21606,33017,5.0
588,Bldg23AP3,21606,33017,10.0
589,Bldg23AP4,21606,33017,11.0
590,Bldg23AP5,21606,33017,3.0
591,Bldg23AP6,21606,33017,3.0
592,Bldg23AP7,21606,33017,4.0
593,Bldg23AP8,21606,33017,4.0
594,Bldg23AP9,21606,33017,4.0
595,Bldg23AP10,21606,33017,5.0
596,Bldg23AP11,21606,33017,5.0
597,Bldg23AP12,21606,33017,6.0
598,Bldg23AP13,21606,33017,6.0
599,Bldg23AP14,21606,33017,7.0
600,Bldg23AP15,21606,33017,8.0
601,Bldg23AP16,21606,33017,8.0
602,Bldg23AP17,21606,33017,9.0
603,Bldg23AP18,21606,33017,
604,Bldg23AP19,21606,33017,10.0
605,Bldg23AP20,21606,33017,10.0
606,Bldg23AP21,21606,33017,11.0
607,Bldg23AP22,21606,33017,11.0
608,Bldg23AP23,21606,33017,2.0
609,Bldg23AP24,21606,33017,2.0
610,Bldg23AP25,21606,33017,2.0
611,Bldg23AP26,21606,33017,3.0
612,Bldg23AP27,21606,33017,3.0
613,Bldg23AP28,21606,33017,4.0
614,Bldg23AP29,21606,33017,4.0
615,Bldg23AP30,21606,33017,4.0
616,Bldg23AP31,21606,33017,4.0
617,Bldg23AP32,21606,33017,4.0
618,Bldg23AP33,21606,33017,5.0
619,Bldg23AP34,21606,33017,5.0
620,Bldg23AP35,21606,33017,5.0
621,Bldg23AP36,21606,33017,5.0
622,Bldg23AP37,21606,33017,6.0
623,Bldg23AP38,21606,33017,6.0
624,Bldg23AP39,21606,33017,6.0
625,Bldg23AP40,21606,33017,7.0
626,Bldg23AP41,21606,33017,7.0
